강좌명,강좌내용,운영기관명,교육장도로명주소,홈페이지주소,수강료,시군명,구
[화성시민대학] AI로 만드는 나만의 그림책(봉담),AI그림책,경기도 화성시청 평생학습과,경기도 화성시 효행구 봉담읍 효행로 212,https://u-life.hscity.go.kr/edu/index.do,20000,화성시,효행구
[화성시민대학] 디자인부터 AI 콘텐츠 제작까지: 캔바활용지도사 자격증 과정(봉담),캔바활용지도사,경기도 화성시청 평생학습과,경기도 화성시 효행구 봉담읍 효행로 212,https://u-life.hscity.go.kr/edu/index.do,24000,화성시,효행구
[화성시민대학] Young Learners TESOL(국제영어교사: 어린이 테솔 과정)(봉담),어린이테솔과정,경기도 화성시청 평생학습과,경기도 화성시 효행구 봉담읍 효행로 212,https://u-life.hscity.go.kr/edu/index.do,90000,화성시,효행구
[화성시민대학] AI와 함께하는 슬기로운 자산관리(봉담),자산관리,경기도 화성시청 평생학습과,경기도 화성시 효행구 봉담읍 효행로 212,https://u-life.hscity.go.kr/edu/index.do,16000,화성시,효행구
[화성시민대학] 생성형 AI 융합지도사 자격증 과정(동탄),생성형AI융합지도사,경기도 화성시청 평생학습과,경기도 화성시 동탄구 10용사로 343-14,https://u-life.hscity.go.kr/edu/index.do,20000,화성시,동탄구
[화성시민대학] AI와 함께하는 슬기로운 자산관리(동탄),자산관리,경기도 화성시청 평생학습과,경기도 화성시 동탄구 10용사로 343-14,https://u-life.hscity.go.kr/edu/index.do,16000,화성시,동탄구
"[화성시민대학][시민학] 스마트 시민, 안전한 화성: 디지털안전교육 지도사 과정(동탄)",디지털안전교육,경기도 화성시청 평생학습과,경기도 화성시 동탄구 10용사로 343-14,https://u-life.hscity.go.kr/edu/index.do,0,화성시,동탄구
AI활용 심화과정,챗 GPT의 이해 강의,경기도 김포시청 교육청소년과,경기도 김포시 김포한강1로 242(운양동),https://gimpo.gseek.kr/,42000,김포시,김포시
(온라인)컴퓨터 중급(AI 활용),(온라인)컴퓨터 중급 강의,경기도 김포시청 교육청소년과,경기도 김포시 사우중로1,https://gimpo.gseek.kr/,0,김포시,김포시
디지털 스마트폰 활용(키오스크 활용),스마트폰 활용 등,경기도 김포시청 교육청소년과,경기도 김포시 김포한강1로 242(운양동),https://gimpo.gseek.kr/,42000,김포시,김포시
디지털드로잉,디지털드로잉 강의,경기도 김포시청 교육청소년과,경기도 김포시 김포한강1로 242(운양동),https://gimpo.gseek.kr/,42000,김포시,김포시
컴퓨터 왕초보+스마트폰 활용,"컴퓨터와 스마트폰, 이제 낯설고 어렵지 않아요 주민센터 정보화 교육에서 실생활에 유용한 기술을 배워보세요. 인터넷 검색, 동영상 시청, 사진과 메시지 관리, 다양한 앱 활용, Chat GPT까지 가족과 더 가까워지고, 일상을 더욱 편리하게 만드는 디지털 활용법을 알려드립니다. 초보자도 쉽게 따라올 수 있도록 차근차근 진행하며 자신감을 키워드립니다. 디지털 세상에 첫발을 내딛는 기쁨과 일상의 변화를 시작하세요",대원1동 행정복지센터,경기도 오산시 오산로132번길 28,https://osanedu.go.kr/app/app0101/selectBsnsView.do,60000,오산시,오산시
기초스마트폰 및 인공지능 AI활용법,기초부터 초보들에 눈높이에 딱 맞춰 수업을 진행하려고 합니다.,신장1동 행정복지센터,경기도 오산시 문헌공로 45,https://osanedu.go.kr/app/app0101/selectBsnsView.do,30000,오산시,오산시
"컴퓨터(초급) 인터넷, 스마트폰활용, 인공지능 AI활용",어른들을 위한  컴퓨터 및 스마트폰 활용 교육 입니다.,신장1동 행정복지센터,경기도 오산시 문헌공로 45,https://osanedu.go.kr/app/app0101/selectBsnsView.do,60000,오산시,오산시
"컴퓨터교실(엑셀,파워포인트)","프리젠테이션을 작성하고 편집할 수 있고, 엑셀을 이용하여 셀을 편집하고 함수를 활용하여 계산할 수 있는 과정입니다. 인공지능을 활용하여 프레젠테이션을 작성할 수 있습니다. 컴퓨터기초+중급과정으로 초보자도 신청할 수 있습니다.",남촌동 행정복지센터,경기도 오산시 청학로 55-5,https://osanedu.go.kr/app/app0101/selectBsnsView.do,60000,오산시,오산시
AI로 세계여행하기,AI로 세계여행하기 수업을 진행합니다.,경기도 동두천시 미래교육진흥원,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",edu.ddc.go.kr,40000,동두천시,동두천시
AI로 만드는 나만의 음악,AI로 나만의 음악 만들기 수업을 진행합니다.,경기도 동두천시 미래교육진흥원,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",edu.ddc.go.kr,40000,동두천시,동두천시
AI이용한 영상편집,영상제작 수업을 진행합니다.,경기도 동두천시 미래교육진흥원,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",edu.ddc.go.kr,40000,동두천시,동두천시
AI 한글&엑셀,한글&엑셀 수업을 진행합니다.,경기도 동두천시 미래교육진흥원,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",edu.ddc.go.kr,40000,동두천시,동두천시
AI활용 블로그&동영상제작,블로그&동영상제작 수업을 진행합니다.,경기도 동두천시 미래교육진흥원,"경기도 동두천시 중앙로 110-18(지행동, 평생학습관)",edu.ddc.go.kr,40000,동두천시,동두천시
디지털 드로잉,이비스페인트X 프로그램 활용법을 알고 나만의 디지털 드로잉 작품 만들기,위례평생학습관,경기도 성남시 수정구 위례동로 91,https://sugang.seongnam.go.kr/,15000,성남시,수정구
온라인 궁궐투어,조선시대 궁궐을 VR로 둘러보며 시대 이야기,위례평생학습관,경기도 성남시 수정구 위례동로 91,https://sugang.seongnam.go.kr/,10000,성남시,수정구
엔트리로 배우는 인공지능 원리,인공지능을 활용한 체험활동을 통해 인공지능 개념과 학습방법을 이해,위례평생학습관,경기도 성남시 수정구 위례동로 91,https://sugang.seongnam.go.kr/,15000,성남시,수정구
딜라이텍스로 만드는 나만의 메타버스,딜라이텍스를 활용해 자신만의 창의적인 메타버스 제작,위례평생학습관,경기도 성남시 수정구 위례동로 91,https://sugang.seongnam.go.kr/,15000,성남시,수정구
AI활용과 디자인 플랫폼,AI를 디자인 플랫폼과 결합하여 업무와 일상에서 적용해보기,성남시 평생학습관,경기도 성남시 분당구 판교로 546,https://sugang.seongnam.go.kr/,30000,성남시,분당구
AI디지털 생활,"건강, 돈, 추억, 계획 AI로 쉽게 정리하기",성남시 평생학습관,경기도 성남시 분당구 판교로 546,https://sugang.seongnam.go.kr/,30000,성남시,분당구
디지털드로잉,디지털 드로잉 기법을 통해 나만의 굿즈 만들기,성남시 평생학습관,경기도 성남시 분당구 판교로 546,https://sugang.seongnam.go.kr/,30000,성남시,분당구
(2025년도 하반기 평생교육) 슬기로운 디지털 생활,디지털 리터러시,경기도교육청의정부도서관,경기도 의정부시 체육로 265-25,https://lib.goe.go.kr/ujb/index.do,0,의정부시,의정부시
AI리터러시,인공지능의 개념과 역사에 대해 배워보기,경기도 여주시청,경기도 여주시 신륵사길 6-6,https://yeoju.gseek.kr/user/main,40000,여주시,여주시
[비대면]컨텐츠디자인(with 캔바),텍스트 디자인부터 ai 생성 이미지를 활용한 디자인,경기도 여주시청,경기도 여주시 신륵사길 6-6,https://yeoju.gseek.kr/user/main,40000,여주시,여주시
[옥정]대화형 인공지능 Chat GPT,직업/자격증,양주시 평생학습관,"경기도 양주시 옥정동로7길 110 옥정동, 옥정호수도서관 지하",https://www.gseek.kr,0,양주시,양주시
[옥정]픽슬러 & 미리캔버스 사진편집과 Vrew 영상제작,직업/자격증,양주시 평생학습관,"경기도 양주시 옥정동로7길 110 옥정동, 옥정호수도서관 지하",https://www.yangju.go.kr/lll/index.do,30000,양주시,양주시
[옥정]픽슬러 & 미리캔버스 사진편집과 Vrew 영상제작,직업/자격증,양주시 평생학습관,"경기도 양주시 옥정동로7길 110 옥정동, 옥정호수도서관 지하",https://www.yangju.go.kr/lll/index.do,30000,양주시,양주시
[옥정]유초등코딩지도사 양성과정,직업/자격증,양주시 평생학습관,"경기도 양주시 옥정동로7길 110 옥정동, 옥정호수도서관 지하",https://www.yangju.go.kr/lll/index.do,30000,양주시,양주시
[덕계]파이썬과 데이터 분석,직업/자격증,양주시 평생학습관,"경기도 양주시 평화로1475번길 39, (덕계동) 회천2동 행정복지센터 5층",https://www.gseek.kr,0,양주시,양주시
[옥정]대화형 인공지능 Chat GPT,직업/자격증,양주시 평생학습관,"경기도 양주시 옥정동로7길 110 옥정동, 옥정호수도서관 지하",https://www.gseek.kr,0,양주시,양주시
[덕계]파이썬과 데이터 분석,직업/자격증,양주시 평생학습관,"경기도 양주시 평화로1475번길 39, (덕계동) 회천2동 행정복지센터 5층",https://www.gseek.kr,0,양주시,양주시
chatGPT & AI 활용(중급반),ChatGPT를 중심으로 생성형 AI의 개념과 실생활 및 업무 활용 중심,경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
chatGPT & AI 활용(기초반),챗GPT는 물론 인공지능에 쉽고 빠르게 입문할 수 있도록 지도,경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
영상으로 처음 만나는 AI,AI영상 제작을 해보는 입문반,경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
캔바로 AI와 친해지기,AI를 처음 접하는 분도 쉽게 따라하는 디지털 입문 과정,경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
디지털 디자인 첫걸음 캔바 기초 활용,디자인 경험이 없는 성인도 쉽게 따라할 수 있도록 구성된 캔바(Canva) 입문 과정,경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,30000,광주시,광주시
디지털 그림 그리기(왕기초반)-나만의 캐릭터 그리기,디지털 그림 그리기 툴 클립스튜디오의 기초,경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,30000,광주시,광주시
나만의 이모티콘 & AI 애니메이션,"클립스튜디오로 나만의 캐릭터를 만들고, 그 캐릭터를 활용해 이모티콘과 짧은 애니메이션까지 완성해보는 실습 중심 수업",경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
나만의 디지털 굿즈만들기,"다양한  캐릭터를 직접 만들어보고, 그 캐릭터로 다양한 디지털 굿즈를 제작하는 수업",경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
주말 chatGPT & AI 활용(중급반),ChatGPT를 중심으로 생성형 AI의 개념과 실생활 및 업무 활용 중심,경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
영화로 살펴보는 인공지능 인문학,"기술을 둘러싼 역사적 맥락과 윤리적 문제, 그리고 문화적 의미를 함께 다룹니다.",경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
AI를 활용한 사주 타로 운세 보기,AI를 활용하여 손쉽게 사주와 타로를 볼 수 있는 능력 개발,경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
(AI 기반) 스마트폰으로 사진 편집,AI 기반 스마트폰카메라 편집 기술로 완성하는 인생샷,경기도 광주시청,경기도 광주시 광주대로116,https://gjedu.gseek.kr/user/course/offline/list,20000,광주시,광주시
일러스트레이터(AI와 함께하는 굿즈),팝아트 일러스트+캐릭터 및 명함 그리기+이모티콘 디자인 등,경기도 파주시청,경기도 파주시 금정3길 40,https://lll.paju.go.kr,70000,파주시,파주시
생성형 AI활용 교육(노트북 지참),"AI의 개념을 이해하고, 직접 사용하며 결과물 만들기",기흥평생학습관,경기도 용인시 기흥구 신갈로138번길 23,https://lll.yongin.go.kr/giheung/index.do,30000,용인시,기흥구
디지털 사진 완전 정복,"사진의 기본 원리 및 촬영, 보정을 배우는 과정",용인시 평생학습관,경기도 용인시 수지구 문정로 7번길 15,http://lll.yongin.go.kr,30000,용인시,수지구
나도 작가 디지털 드로잉,디지털로 일러스트 배우는 과정,용인시 평생학습관,경기도 용인시 수지구 문정로 7번길 15,http://lll.yongin.go.kr,30000,용인시,수지구
AI도구를 활용한 크리에이터 되기(야간),ai앱 활용 및 영상 제작,용인시 평생학습관,경기도 용인시 수지구 문정로 7번길 15,http://lll.yongin.go.kr,30000,용인시,수지구
챗 GPT 첫 입문(야간),챗gpt 기초 입문 교육,용인시 평생학습관,경기도 용인시 수지구 문정로 7번길 15,http://lll.yongin.go.kr,20000,용인시,수지구
(야간)차근차근 드론(Drone)입문,드론을 활용한 취미생활 및 드론 4종 수료증 취득과정,경기도 구리시,경기도 구리시 체육관로 74,https://www.guri.go.kr/lll/index.do,36000,구리시,구리시
챗GPT와 AI활용,"일상과 업무에 바로 적용 가능한 Chat GPT 활용법을 익혀, 누구나 손쉽게 디지털 도구를 활용 할 수 있도록 한다.",경기도 안양시 만안평생학습센터,경기도 안양시 만안구 냉천로 39,learning.anyang.go.kr/MW,60000,안양시,만안구
사진촬영 취미반,"DSLR, 스마트폰(안드로이드), 미러리스 등 디지털 카메라 촬영 현장학습 (필름카메라는 제외)",경기도 안양시 동안평생학습센터,경기도 안양시 동안구 동안로 153,learning.anyang.go.kr/DW,60000,안양시,동안구
디지털카메라활용(초급),사진의 이해와 카메라 구조 및 개념을 습득,경기도 안양시 동안평생학습센터,경기도 안양시 동안구 동안로 153,learning.anyang.go.kr/DW,60000,안양시,동안구
디지털카메라활용(중급),사진의 이해와 카메라 구조 및 개념을 습득,경기도 안양시 동안평생학습센터,경기도 안양시 동안구 동안로 153,learning.anyang.go.kr/DW,60000,안양시,동안구
댄스스포츠 (중급),댄스스포츠의 기본동작을 바탕으로 다양한 Variations Routine을 익힌다. 종목에 맞는 리듬을 표현할 수 있다.,경기도 안양시 만안평생학습센터,경기도 안양시 만안구 냉천로 39,learning.anyang.go.kr/MW,60000,안양시,만안구
AI와 함께하는 스마트한 세상,"간단한 AI 도구를 직접 체험하며, 디지털 활용 능력을 향상시킵니다.",경기도 안양시 만안평생학습센터,경기도 안양시 만안구 냉천로 39,learning.anyang.go.kr/MW,60000,안양시,만안구
AI활용과 영상제작,스마트폰의 활용도를 높여주고 이를 기반으로 영상 제작의 방법을 익힌다,경기도 안양시 만안평생학습센터,경기도 안양시 만안구 냉천로 39,learning.anyang.go.kr/MW,60000,안양시,만안구
[독서토론]먼저 온 미래-AI 이후의 세계를 경험한 사람들,독서하고 같이 정보 공유하기,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
[조영호 명예교수] AI와 함께하는 시니어 행복멘탈코칭,시니어 행복멘탈코칭에 대해 알아보기,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
"기술은 우리를 구원하지 않는다 : 인공지능, 인간, 사회",영화로 읽는 기술철학 강의,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
[언제든학교]사계절 마음 산책-AI와 함께 마음을 노래하는 글쓰기,AI를 활용하여 글쓰기,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
신한카드와 함께하는 시니어 안심 디지털 금융 실전과정(25년 4분기),시니어대상 디지털 금융교육,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
[수원시평생학습축제] AI와 함께하는 내 안의 행복찾기 멘탈코칭,AI를 활용하여 멘탈코칭 하기,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
"[수원시평생학습축제] 첨단 로봇 전시 및 자율주행, 드론VR 시뮬레이션 조종 체험",로봇과 드론 일일체험,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
[2026년 연기]인공지능 시대 공부의 딜레마,"AI의 주인이 될 것인가, 더불어 성장의 주인공이 될 것인가? 알아보기",경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
"AI와 기후의 미래 - 디지털 과잉 함정에 빠진 한국, 더 위험해진 기후",우리 사회가 새롭게 직면한 거대한 딜레마와 관련해 세계 각국의 동향을 살펴보면서 우리나라의 현재와 나아갈 방향을 모색,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
"인공지능과 읽기 쓰기의 변화, 그리고 나의 리터러시 생태계 가꾸기",급속한 변화 속에서 가치있는 읽기 쓰기를 실천하기 위해 자신의 리터러시 생태계를 어떻게 가꾸어야 할지 살펴보기,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
"낙인과 혐오를 넘어 감염을 새롭게 보기 : HIV, 감염 그리고 질병과 함께 미래 짓기",낙인이 공고하게 찍혀온 HIV/AIDS를 바탕 삼아 이 같은 문제들을 다시 돌아보기,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
"인공지능과 노동 : AI가 대체하는, 대체 못하는 노동","AI 시대 인간 노동의 미래를 함께 탐색하고,인류학자로서 목격한 현장의 목소리를 바탕으로 공감과 창의의 힘을 통해존엄한 노동의 가치를 지켜나갈 방안을 모색",경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
AI블루: 사람들은 어떤 마음으로 AI를 경험하는가,AI에 밀릴 것 같은 위기감에 대해 살펴보고 길을 함께 모색해 보는 시간,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
AI시대 노동의 지각 변동 : 감정 노동을 중심으로,인공지능 활용수업,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),http://learning.suwon.go.kr,0,수원시,팔달구
[12월 11일] 지능로봇리빙랩 로봇&드론 일일체험,로봇과 드론 일일체험,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),http://learning.suwon.go.kr,0,수원시,팔달구
디지털문해 강사 역량강화 교육과 워크숍,디지털문해 강사 역량강화,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),http://learning.suwon.go.kr,0,수원시,팔달구
[11월 27일] 지능로봇리빙랩 로봇&드론 일일체험,로봇과 드론 일일체험,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),http://learning.suwon.go.kr,0,수원시,팔달구
[11월 20일] 지능로봇리빙랩 로봇&드론 일일체험,로봇과 드론 일일체험,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),http://learning.suwon.go.kr,0,수원시,팔달구
드론 입문자를 위한 기초 이론 교육,드론 기초 이론교육,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),http://learning.suwon.go.kr,0,수원시,팔달구
CARLA 시뮬레이터를 이용한 자율주행 실습,소프트웨어를 이용한 자율주행 실습,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),http://learning.suwon.go.kr,0,수원시,팔달구
AI 제대로 일시키는 프롬프트 엔지니어 전문과정,인공지능 활용수업,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),http://learning.suwon.go.kr,30000,수원시,팔달구
[9월 5일] 지능로봇리빙랩 로봇&드론 일일체험,로봇과 드론 일일체험,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
[조영호 명예교수 특강] AI와 함께하는 시니어 행복멘탈코칭,AI를 활용하여 건강한 정신 만들기,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2,http://learning.suwon.go.kr,0,수원시,팔달구
아두이노를 활용한 드론 기초 코딩 [성균관대학교],아두이노 강좌,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),http://learning.suwon.go.kr,0,수원시,팔달구
유용한 스마트폰 어플 사용법,디지털미디어,경기도 수원시평생학습관,경기도 수원시 팔달구 월드컵로 318번길 2(우만동 582),http://learning.suwon.go.kr,20000,수원시,팔달구
